"2014-10-18","15:34:57",1,3,1,3,4,1,1,1,0,1,0,1
"2014-10-18","15:39:32",2,2,2,2,1,0,0,0,0,0,0,1
"2014-10-18","15:55:56",1,3,1,3,1,1,0,1,0,1,0,1
"2014-10-18","15:56:28",1,2,3,2,6,1,0,0,0,0,0,1
"2014-12-08","13:36:18",3,3,3,3,6,0,0,0,0,0,0,1
"2014-12-08","14:37:00",1,2,1,3,3,0,0,0,1,0,0,0
"2014-12-08","14:41:14",1,1,1,1,1,1,1,0,0,0,1,1
"2014-12-08","22:18:46",1,3,3,1,5,0,1,0,1,0,1,0
"2014-12-08","22:27:26",2,2,2,2,6,1,0,0,0,0,0,0
"2014-12-08","22:32:53",2,1,3,2,4,0,1,0,0,1,0,0
"2014-12-08","22:33:39",1,1,2,3,5,0,1,0,0,0,1,0
"2014-12-08","22:56:20",1,2,3,2,2,0,1,0,1,0,1,0
"2014-12-09","14:45:20",2,2,2,2,3,0,0,0,0,1,0,0
"2014-12-09","14:46:49",2,1,3,2,3,1,1,1,1,1,1,1
"2014-12-12","01:55:58",3,3,3,3,4,1,0,0,0,0,0,0
"2014-12-12","17:24:26",2,2,2,2,3,0,1,0,1,0,1,0
"2014-12-14","14:59:04",2,2,2,2,4,0,0,0,0,1,0,0
"2014-12-16","16:19:40",2,2,2,2,3,0,0,1,0,0,0,1
"2014-12-16","16:22:13",2,2,2,2,2,1,0,0,0,0,0,1
"2014-12-20","17:09:32",2,2,2,2,3,1,0,0,0,0,0,0
"2014-12-20","17:44:00",2,2,2,2,3,0,0,1,0,0,0,0
"2014-12-20","17:44:25",3,1,1,3,6,1,0,0,0,0,0,0
"2015-01-08","16:19:14",2,2,2,2,3,1,0,0,0,0,0,0
"2015-01-10","12:48:35",1,2,2,3,1,1,1,0,1,0,1,0
"2015-01-10","12:51:18",3,1,1,3,6,1,1,1,1,1,1,0

"2015-01-10","13:12:32",2,2,2,2,4,0,0,0,0,0,0,1
"2015-01-20","15:48:34",2,2,2,2,3,0,1,0,0,0,0,0
"2015-01-31","23:01:31",2,2,2,2,2,1,0,0,0,0,0,0
"2015-01-31","23:16:05",2,2,2,2,3,0,0,1,0,0,0,0
"2015-02-09","15:06:35",1,1,1,1,2,0,1,0,0,0,0,0,0
